id_left,title_left,category_left,description_left,id_right,title_right,category_right,description_right
17557479," ""Acer Swift 1 SF113-31-P4A2 Pink ""@de "" Acer Notebooks: Ausgezeichnete Aspire Modelle f�rs Gaming",Computers_and_Accessories,"""
												                                            33,80cm (13,3"") FullHD, Intel Pentium N4200 (4x 1,1GHz), 4GB RAM, 256GB SSD, Intel HD Graphics, Windows 10 Home 64-Bit
                                
														""@de ",17557339," ""Acer Aspire ES1-132-P194 - Business Notebook ""@de "" Acer Notebooks: Ausgezeichnete Modelle f�rs Gaming",Computers_and_Accessories,"""
												                                            29,46cm (11,6"") Intel Pentium N4200 (4x 1,1GHz), 4GB RAM, 500GB HDD, Intel HD Graphics, Windows 10 Home 64-Bit
                                
														""@de "
17557460," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",17557308," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Deal of the Day Refurbished Used Mac Laptops and More | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" "
17557460," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",17387544," ""Lenovo Professional Backpack (Black) for 15.6 inch ThinkPad Notebooks""@en",Luggage_and_Travel_Gear,"""
                                        Durable, lightweight materialSeparate padded compartment to protect notebookConvenient front pocket stores power supplyErgonomic shoulder straps and padded carry handleStorage pockets to organise pens & documents
                                        The Professional line of carrying cases offers durability and up-to-date style. These newly designed cases complement the look and feel of ThinkPad notebooks on the outside, and deliver clever durability and convenience on the inside. As an extension of the ...                                    ""@en "
17557460," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",4786710," "" Apple Mac Pro MD878LL/A Desktop Computer; Intel Xeon E5 6-Core Processor 3.5GHz; OS X 10.10 Yosemite; 16GB DDR3-1866 RAM; 256GB Flash Storage""@en Computer - Micro Center ""@en",Computers_and_Accessories,"""
                        
 Intel Xeon E5 6-Core Processor 3.5GHz Mac OS X 10.10 Yosemite 16GB DDR3-1866 RAM 256GB Flash Storage Dual AMD FirePro D500 Graphics Dual Gigabit Ethernet 802.11ac Wireless Bluetooth 4.0 Display Not Included
Mac Pro is the professional desktop computer reinvented from the inside out. Arranging the most advanced technologies available around a unified thermal core allowed us to make this the most powerful and expandable Mac ever, yet also unbelievably compact and quiet.

createCookie('T427854','TWFjIFBybyBNRDg3OExML0EgRGVza3RvcCBDb21wdXRlcjsgIEludGVsIFhlb24gRTUgNi1Db3JlIFByb2Nlc3NvciAzLjVHSHo7ICBNYWMgT1MgWCAxMC4xMCBZb3NlbWl0ZTsgIDE2R0IgRERSMy0xODY2IFJBTTsgIDI1NkdCIEZsYXNoIFN0b3JhZ2U=',30); createCookie('S427854','51284', 30);
 


                    ""@en "
17557460," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",12142091," ""WD 3TB My Cloud Personal Network Attached Storage - NAS WDBCTL0030HWT-NESN""@en-US ""Network | Laptops Outlet Direct""@en-US",Computers_and_Accessories,"""Finally, a cloud of your own - save everything in one place and access it from anywhere with your PC, Mac, smartphone or tablet. Protect your files with automatic file backup for all your PC and Mac computers. And it's all stored on your home or office network, not a remote server, so there's no mysterious location of your data. It's more than network storage, it's your own personal cloud.. provides an extensible design that enables Service prioritization for data. Design that delivers high availability, scalability, and for maximum flexibility and price/performance. The country of Origin is Singapore.""@en-US "
17557460," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",17557395," "" Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" Customer Reviews of Refurbished Macs | GainSaver Blog",Computers_and_Accessories,
17557460," ""Macbook Air 11.6-inch (Glossy) 1.6GHZ Dual Core i5 (Early 2015) . - Apple MJVM2LL/A"" "" Used and Refurbished Macbook Airs on Sale | GainSaver",Computers_and_Accessories,"""11.6-inch LED-backlit glossy widescreen TFT display, 1366x768 resolution,1.6GHZ Intel  Dual Core i5 Processor,Base 128GB Flash Drive, Upgradable 1TB Flash Drive,2GB Memory, Upgradable 4GB Memory,Intel HD Graphics 6000 graphics processor that shares system memory,Customizable Mac OS X installed and Optional Dual Boot Windows OS installed,Power Adapter Included,Two USB 3 ports (up to 5 Gbps), Thunderbolt 2 port (up to 20 Gbps), MagSafe 2 power port,802.11ac Wi-Fi wireless networking; IEEE 802.11a/b/g/n compatible, Bluetooth 4.0 wireless technology,"" ",12984506," ""Supermicro CSE-842TQ-865B SYSTEM CABINET - RACK-MOUNTABLE POWER ON/OFF BUTTON ;2X NETWORK ACTIVITY LEDS""@en-US ""Home Audio Accessories Page 511 | All Tech Toys""@en-US",Computers_and_Accessories,"""SpecificationsMfr Part Number: CSE-842TQ-865BCase Type: 4U RackmountColor: BlackM/B Type: EATX, ATX, MicroATX; MaxÂ Motherboard Size -Â 12.0Â x 13.0Â inchProcessor Support: Dual,Â Single Intel/AMD ProcessorsDrive Bays: 5x 3.5"" Hot-swapÂ Drive Bays, 3x 5.25"" Peripheral Drive BaysExpansion Slots: 7x Tool-less Full-height, Full-lengthÂ PCI ExpansionÂ SlotsBackplane: SAS/SATAÂ Hard DriveÂ BackplaneCooling System: 1x Front Intake 90mm PWM Cooling Fan, 2x Rear 80mm PWM Cooling FansFront Panel: Buttons: Power On/Off, System ResetLEDs: Power, Hard Drive Activity, 2x Network Activity, System Overheat, Power FailPorts: 2x USB 2.0 PortsPower Supply: 865W 80 PLUS CertifiedÂ AC Power Supply (Cooling-Redundant) w/ PFCDimensions (WxDxH): 17.2 x 20.5 x 7.0 inch / 437.0 x 521.0 x 178.0 mmGross Weight: 25.0 lbs /Â 11.3 kgChassis Only. CPU, MB, HD, memory and other parts are not included.""@en-US "
17557407," ""Apple MJYR2LL/A Smart Keyboard for 12.9-inch iPad Pro""@en Pro - The Open Box Store""@en",Computers_and_Accessories,,-93664550," ""Apple - Smart Keyboard for 12 iPad Pro Gray""@en-US",Computers_and_Accessories,"""Smart Keyboard available at Best BuyThe new Smart Keyboard for iPad Pro has all the utility of an ordinary full-size keyboard, but its technology is far from conventional. The entire keyboard is draped with a custom-woven fabric that has been laser ablated to precisely define each key and ensure a satisfyingly fast and natural key feel. Below the surface of Smart Keyboard is a new conductive material. At just 0.1mm, it is nearly as thin as a piece of paper, yet strong enough to withstand a lifetime of folding. And it's why you won't find any batteries, cord or on/off switches with Smart Keyboard.""@en-US "
17557407," ""Apple MJYR2LL/A Smart Keyboard for 12.9-inch iPad Pro""@en Pro - The Open Box Store""@en",Computers_and_Accessories,,9366455," ""Apple - Smart Keyboard for 12.9 Inch iPad Pro Gray""@en-US",Computers_and_Accessories,"""Smart Keyboard available at Best BuyThe new Smart Keyboard for iPad Pro has all the utility of an ordinary full-size keyboard, but its technology is far from conventional. The entire keyboard is draped with a custom-woven fabric that has been laser ablated to precisely define each key and ensure a satisfyingly fast and natural key feel. Below the surface of Smart Keyboard is a new conductive material. At just 0.1mm, it is nearly as thin as a piece of paper, yet strong enough to withstand a lifetime of folding. And it's why you won't find any batteries, cord or on/off switches with Smart Keyboard.""@en-US "
17557383," ""Crucial 8GB Single DDR3L 1600 MT/s (PC3L-12800) SODIMM 204-Pin Laptop Memory (CT102464BF160B)""@en-US ""Printers & Accessories | Office Outlet Express""@en-US",Computers_and_Accessories,"""In short, 204-pin small outline dual inline memory modules (SODIMMs) are the form factor used to provide DDR3 memory modules for notebook computers and other small form factor computing platforms. 204-pin SODIMMs are currently available in PC3-8500 (DDR3 1066MHz) and PC3-10600 (DDR3 1333MHz) speeds.""@en-US ",11560509," ""411095-001 DL145 G2 Opt 2.6GHz 1MB 2GB 80-GB"", ""Null"" 80-GB Wholesale 411095-001 Price 411095-001""",Computers_and_Accessories,"""Description:Proliant DL145R 1x AMD Dual-Core Opteron Model 285 2.6GHz 1MB L2 Cache per Core  2GB Advanced ECC PC3200 DDR SDRAM  includes 1 x 80GB Serial ATA (SATA) Hard Drive  NVIDIA GeForce2 GPU w/ 16MB DDR  Gigabit Ethernet  Rackmount-1UPart Number(s)Option Part# 411095-001"" "
